GameState
###
Player:SIMON:0|4:576|2133:map5:
&&&
BornAnew:0:Born anew:true:false:2:
Maze:1:Maze:false:false:0:
ForestMystery:2:Forest Mystery:false:false:0:
CatchUpWithBill:3:Catch up with Bill:false:false:0:
OceanChest:4:Ocean Chest:false:false:0:
MedallionHandOver:5:End of the journey:false:false:0:
&&&
0
&&&
false
###
NPC:JOHN:100002:4.0:maze:751|89:villager2:stand:LEFT:0:
NPC:SERGIO:90119:4.0:map24:397|477:villager2:wander_random:DOWN:0:
NPC:KATHE:90087:4.0:map24:1168|1128:villager3:wander_random:DOWN:0:
NPC:JURGEN:90091:4.0:map24:223|651:villager0:wander_random:DOWN:0:
NPC:KARIM:90110:4.0:map24:1769|579:villager0:stand:LEFT:0:
NPC:SWINDLY:90077:4.0:map24:414|894:villager3:stand:DOWN:0:
NPC:MIKELINA:90129:4.0:map24:2829|1035:villager3:wander_random:DOWN:0:
NPC:THIGO:90067:4.0:map24:2515|1046:villager2:wander_random:DOWN:0:
NPC:JON:90122:4.0:map24:1067|286:villager0:wander_random:DOWN:0:
NPC:ALBERT:90094:4.0:map24:1070|1042:villager0:wander_random:DOWN:0:
NPC:FLECKY:90080:4.0:map24:587|894:villager2:stand:DOWN:0:
NPC:DICKY:90078:4.0:map24:825|895:villager3:stand:DOWN:0:
NPC:OLOF:90130:4.0:map24:2345|162:villager0:wander_random:DOWN:0:
NPC:LITTY:90081:4.0:map24:1020|1280:villager2:stand:DOWN:0:
NPC:SAMBI:90123:4.0:map24:1198|2432:villager2:wander_random:DOWN:0:
NPC:SPIEDE:90083:4.0:map24:949|1597:villager2:stand:UP:0:
NPC:KYLIAN:90111:4.0:map24:1721|580:villager2:stand:RIGHT:0:
NPC:BISSAK:90074:4.0:map24:1638|959:villager3:stand:DOWN:0:
NPC:VICTOR:90063:4.0:map24:2183|1371:villager2:stand:LEFT:0:
NPC:VIRGIL:90072:4.0:map24:2313|1449:villager0:wander_random:DOWN:0:
NPC:CLERKY:90076:4.0:map24:607|1280:villager0:stand:DOWN:0:
NPC:BACARY:90108:4.0:map24:1014|1002:villager3:stand:UP:0:
NPC:SHAW:90069:4.0:map24:1581|959:villager0:stand:DOWN:0:
NPC:MOTO:89996:4.0:map21:1716|849:villager0:wander_random:DOWN:0:
NPC:CHRIE:89995:4.0:map21:2045|806:villager3:wander_random:DOWN:0:
NPC:KARA:89990:4.0:map21:742|675:villager3:stand:UP:0:
NPC:STOCKY:90149:4.0:map21:1939|2195:villager0:stand:LEFT:0:
NPC:SWATT:89991:4.0:map21:919|675:villager0:stand:UP:0:
NPC:ISAK:89743:4.0:map21:1918|1680:villager0:stand:DOWN:0:
NPC:SLOOT:89994:4.0:map21:1113|1574:villager2:wander_random:DOWN:0:
NPC:FINN:90146:4.0:map21:2776|2111:villager0:wander_random:DOWN:0:
NPC:BUKA:89999:4.0:map21:2587|380:villager2:wander_random:DOWN:0:
NPC:EMILE:90000:4.0:map21:2828|2487:villager0:wander_random:DOWN:0:
NPC:KLEB:89997:4.0:map21:902|1067:villager0:wander_random:DOWN:0:
NPC:LOCKY:90147:4.0:map21:1996|2192:villager3:stand:RIGHT:0:
NPC:JESTER:100000:4.0:map21:1968|2165:villager2:stand:UP:0:
NPC:WATERBOY:89993:4.0:map21:446|115:villager2:wander_random:DOWN:0:
NPC:LOOTHY:89998:4.0:map21:2111|109:villager3:wander_random:DOWN:0:
NPC:LIEKE:89989:4.0:map20:2197|2108:villager3:wander_random:DOWN:0:
NPC:BARK:89974:4.0:map20:1800|981:villager0:stand:UP:0:
NPC:BARKLEY:89986:4.0:map20:2038|1425:villager0:wander_random:DOWN:0:
NPC:GABRIEL:89988:4.0:map20:2215|2749:villager2:wander_random:UP:0:
NPC:TUMBI:89977:4.0:map20:1539|955:villager2:stand:DOWN:0:
NPC:MUMBI:89976:4.0:map20:1494|955:villager2:stand:DOWN:0:
NPC:INDIA:89979:4.0:map20:1521|982:villager3:stand:UP:0:
NPC:COLEMAN:89984:4.0:map20:2021|1215:villager2:wander_random:DOWN:0:
NPC:AUSTIN:89978:4.0:map20:1461|985:villager0:stand:UP:0:
NPC:LEIGHTON:89981:4.0:map20:799|1009:villager0:wander_random:DOWN:0:
NPC:KYLE:89985:4.0:map20:2249|1395:villager2:wander_random:DOWN:0:
NPC:ASHLEY:89982:4.0:map20:719|1019:villager2:wander_random:DOWN:0:
NPC:STITH:89980:4.0:map20:272|1024:villager3:wander_random:DOWN:0:
NPC:MARK:89973:4.0:map20:1826|957:villager0:stand:DOWN:0:
NPC:BAINES:89983:4.0:map20:1649|1034:villager2:wander_random:DOWN:0:
NPC:VIENNA:89975:4.0:map20:1449|953:villager3:stand:DOWN:0:
NPC:LAINE:89972:4.0:map20:1780|955:villager3:stand:DOWN:0:
NPC:MERTE:89987:4.0:map20:2229|2975:villager3:wander_random:UP:0:

###
Scenery:chest:34000:2502|2165:48:48:0|0:16.0:0|16:48:32:false:58:53:-5:0:
Scenery:chest2:10061:1271|55:48:48:0|0:16.0:0|16:48:32:false:58:53:-5:0:
Scenery:chest3:10656:2549|2930:48:48:0|0:16.0:0|16:48:32:false:58:53:-5:0:
Scenery:blue_open_door2:29880:576|1917:48:48:0|0:20.0:0|0:48:18:false:58:53:-5:0:
TeleportScenery:teleport:29877:588|1952:24:24:0|0:8.0:0|8:24:16:true:34:29:-5:0:house1:101|320:true:
